# 
# This is data from Figure 6, Lawrence et al., 2022, submitted.
#        MAPLON        MAPLAT          HMAP
      31.25000     -89.75000      93.95386
      31.75000     -89.75000      93.91364
      32.25000     -89.75000      93.83429
      32.75000     -89.75000      93.79413
      33.25000     -89.75000      93.75397
      33.75000     -89.75000      93.67322
      34.25000     -89.75000      93.63318
      34.75000     -89.75000      93.55109
      35.25000     -89.75000      93.50958
      35.75000     -89.75000      93.46942
      36.25000     -89.75000      93.38611
      36.75000     -89.75000      93.34601
      37.25000     -89.75000      93.26251
      37.75000     -89.75000      93.22113
      38.25000     -89.75000      93.13654
      38.75000     -89.75000      93.09509
      39.25000     -89.75000      93.05347
      39.75000     -89.75000      92.96893
      40.25000     -89.75000      92.92615
      40.75000     -89.75000      92.84149
      41.25000     -89.75000      92.79999
      41.75000     -89.75000      92.71405
      42.25000     -89.75000      92.67255
      42.75000     -89.75000      92.62982
      43.25000     -89.75000      92.54388
      43.75000     -89.75000      92.50232
      44.25000     -89.75000      92.41644
      44.75000     -89.75000      92.37360
      45.25000     -89.75000      92.28772
      45.75000     -89.75000      92.24487
      46.25000     -89.75000      92.20343
      46.75000     -89.75000      92.11749
      47.25000     -89.75000      92.07465
      47.75000     -89.75000      91.98871
      48.25000     -89.75000      91.94592
      48.75000     -89.75000      91.90442
      49.25000     -89.75000      91.81842
      49.75000     -89.75000      91.77563
      50.25000     -89.75000      91.69110
      50.75000     -89.75000      91.64960
      51.25000     -89.75000      91.56354
      51.75000     -89.75000      91.52209
      52.25000     -89.75000      91.48059
      52.75000     -89.75000      91.39594
      53.25000     -89.75000      91.35437
      53.75000     -89.75000      91.26978
      54.25000     -89.75000      91.22821
      54.75000     -89.75000      91.14490
      55.25000     -89.75000      91.10333
      55.75000     -89.75000      91.06323
      56.25000     -89.75000      90.97980
      56.75000     -89.75000      90.93964
      57.25000     -89.75000      90.85767
      57.75000     -89.75000      90.81744
      58.25000     -89.75000      90.77716
      58.75000     -89.75000      90.69647
