id,WKT,mgo,al2o3,sio2,cao,tio2,feo,potassium,thorium,uranium
103,"POLYGON ((120.0 40.0, 150.0 40.0, 150.0 60.0, 120.0 60.0, 120.0 40.0))",5.964200,26.727000,43.923000,17.004000,0.242960,4.718200,381.8100,0.6798,0.1846
104,"POLYGON ((150.0 40.0, 180.0 40.0, 180.0 60.0, 150.0 60.0, 150.0 40.0))",5.334700,27.821000,43.551000,16.999000,0.244270,4.745100,339.4500,0.5205,0.1411
105,"POLYGON ((-180.0 60.0, -135.0 60.0, -135.0 80.0, -180.0 80.0, -180.0 60.0))",5.593600,26.351000,44.684000,15.676000,0.291820,4.492200,210.9400,0.3946,0.1067
106,"POLYGON ((-135.0 60.0, -90.0 60.0, -90.0 80.0, -135.0 80.0, -135.0 60.0))",5.611100,26.431000,43.822000,15.659000,0.287680,4.971900,435.4400,0.8201,0.2229
107,"POLYGON ((-90.0 60.0, -45.0 60.0, -45.0 80.0, -90.0 80.0, -90.0 60.0))",7.679300,26.130000,43.226000,15.524000,0.400550,5.320000,1009.0000,2.0797,0.5668
108,"POLYGON ((-45.0 60.0, 0.0 60.0, 0.0 80.0, -45.0 80.0, -45.0 60.0))",8.652200,25.742000,42.814000,16.792000,0.494970,6.338000,1805.1000,4.0166,1.0955
109,"POLYGON ((0.0 60.0, 45.0 60.0, 45.0 80.0, 0.0 80.0, 0.0 60.0))",7.395600,26.873000,44.212000,16.559000,0.453710,5.673500,1463.2000,3.0278,0.8256
110,"POLYGON ((45.0 60.0, 90.0 60.0, 90.0 80.0, 45.0 80.0, 45.0 60.0))",6.265500,28.535000,43.276000,15.303000,0.328230,4.417500,577.8100,1.0901,0.2966
111,"POLYGON ((90.0 60.0, 135.0 60.0, 135.0 80.0, 90.0 80.0, 90.0 60.0))",5.228700,27.233000,44.166000,16.028000,0.288370,4.179800,467.9700,0.9668,0.2629
112,"POLYGON ((135.0 60.0, 180.0 60.0, 180.0 80.0, 135.0 80.0, 135.0 60.0))",4.974700,26.990000,44.662000,16.352000,0.250160,4.432600,256.0500,0.4512,0.1222
113,"POLYGON ((-180.0 80.0, 180.0 80.0, 180.0 90.0, -180.0 90.0, -180.0 80.0))",6.569800,26.777000,43.846000,15.711000,0.271670,4.932700,729.9600,1.2600,0.3430
